log10_ratio,density
-0.03757707836336875,0.09426310755516469
-0.037216252226740826,0.10461102598298203
-0.0368554260901129,0.11597942135682551
-0.036494599953484974,0.12845535773597808
-0.03613377381685705,0.14213183398000387
-0.03577294768022912,0.157108033327998
-0.0354121215436012,0.17348956745292463
-0.03505129540697327,0.1913887128879177
-0.034690469270345345,0.21092463755609586
-0.03432964313371742,0.2322236149716224
-0.03396881699708949,0.2554192235193618
-0.03360799086046157,0.280652528065113
-0.03324716472383363,0.3080722410003143
-0.0328863385872057,0.3378348596860937
-0.032525512450577776,0.37010477713417367
-0.03216468631394985,0.4050543626483114
-0.031803860177321924,0.4428640090525028
-0.031443034040694,0.48372214305328687
-0.031082207904066073,0.5278251952256506
-0.030721381767438147,0.5753775260780701
-0.03036055563081022,0.6265913046442212
-0.029999729494182295,0.6816863360697675
-0.02963890335755437,0.7408898347144198
-0.029278077220926443,0.8044361393746428
-0.028917251084298518,0.8725663673532363
-0.02855642494767059,0.9455280042602093
-0.028195598811042666,1.0235744266268765
-0.02783477267441474,1.1069643546535775
-0.027473946537786814,1.195961232691627
-0.02711312040115889,1.2908325353834595
-0.026752294264530962,1.3918489977515978
-0.026391468127903037,1.499283767937242
-0.02603064199127511,1.6134114817428111
-0.025669815854647185,1.7345072586284354
-0.02530898971801926,1.8628456193495415
-0.024948163581391333,1.9986993259987642
-0.024587337444763407,2.1423381458286124
-0.02422651130813548,2.2940275408786737
-0.023865685171507556,2.4540272861085253
-0.02350485903487963,2.622590019442036
-0.023144032898251704,2.7999597278546036
-0.022783206761623764,2.986370174377838
-0.02242238062499584,3.182043271649261
-0.022061554488367913,3.387187408394583
-0.021700728351739987,3.6019957359848718
-0.02133990221511206,3.8266444229605527
-0.020979076078484135,4.061290886144279
-0.02061824994185621,4.306072007672219
-0.020257423805228283,4.561102347948563
-0.019896597668600358,4.826472365162537
-0.019535771531972432,5.102246652592527
-0.019174945395344506,5.388462205452176
-0.01881411925871658,5.685126729496137
-0.018453293122088654,5.992217003994798
-0.01809246698546073,6.309677311997158
-0.017731640848832803,6.637417951022755
-0.017370814712204877,6.97531383745189
-0.01700998857557695,7.3232032179077216
-0.016649162438949025,7.680886500845446
-0.0162883363023211,8.048125221370544
-0.015927510165693173,8.424641152002032
-0.015566684029065248,8.810115571671973
-0.015205857892437322,9.204188704708649
-0.014845031755809396,9.606459340884873
-0.01448420561918147,10.016484646831273
-0.014123379482553544,10.433780178208702
-0.013762553345925618,10.857820101021394
-0.013401727209297692,11.288037629320005
-0.013040901072669767,11.72382568531614
-0.012680074936041827,12.16453778659648
-0.012319248799413901,12.60948916370661
-0.011958422662785975,13.057958109874829
-0.01159759652615805,13.509187563074876
-0.011236770389530124,13.962386919003059
-0.010875944252902198,14.416734071868394
-0.010515118116274272,14.871377678194984
-0.010154291979646346,15.325439637110595
-0.00979346584301842,15.778017778877212
-0.009432639706390494,16.22818875170567
-0.009071813569762568,16.67501109521862
-0.008710987433134643,17.117528487291544
-0.008350161296506717,17.554773149426772
-0.007989335159878791,17.985769394320513
-0.007628509023250865,18.40953729788035
-0.007267682886622939,18.82509647665367
-0.006906856749995013,19.23146995045565
-0.006546030613367088,19.62768806894732
-0.006185204476739162,20.012792480023613
-0.005824378340111236,20.385840117140603
-0.00546355220348331,20.745907182148137
-0.005102726066855384,21.092093099809098
-0.004741899930227458,21.423524419982453
-0.0043810737935995325,21.73935864343481
-0.004020247656971607,22.038787947421216
-0.003659421520343681,22.321042787547828
-0.003298595383715755,22.585395352986435
-0.002937769247087829,22.831162852869813
-0.0025769431104599033,23.057710612623737
-0.0022161169738319636,23.26445496011336
-0.0018552908372040378,23.4508658827618
-0.001494464700576112,23.616469438247794
-0.001133638563948186,23.760849902974886
-0.0007728124273202602,23.8836516442444
-0.0004119862906923344,23.984580703900832
-5.116015406440855e-05,24.063406083182446
0.0003096659825635173,24.119960720542984
0.0006704921191914431,24.154142156324912
0.001031318255819369,24.165912880326058
0.0013921443924472948,24.155300360490987
0.0017529705290752207,24.12239675316623
0.0021137966657031465,24.067358297555646
0.0024746228023310723,23.990404399181017
0.002835448938958998,23.891816409275485
0.003196275075586924,23.77193610910166
0.00355710121221485,23.631163910155646
0.003917927348842776,23.469956783096947
0.0042787534854707016,23.28882593000631
0.004639579622098627,23.088334216199765
0.005000405758726553,22.86909337931334
0.005361231895354479,22.631761034708063
0.005722058031982405,22.377037497401567
0.006082884168610331,22.10566244173347
0.006443710305238257,21.818411420776844
0.0068045364418661825,21.516092268133868
0.007165362578494108,21.199541405201
0.007526188715122034,20.869620077228433
0.007887014851749974,20.527210541572323
0.0082478409883779,20.1732122314109
0.008608667125005826,19.80853791789852
0.008969493261633751,19.43410989325431
0.009330319398261677,19.05085619664747
0.009691145534889603,18.65970690393624
0.010051971671517529,18.261590501385086
0.010412797808145455,17.857430362400176
0.01077362394477338,17.448141345128818
0.011134450081401306,17.034626527464784
0.011495276218029232,16.617774094597188
0.011856102354657158,16.198454392769737
0.012216928491285084,15.777517161369943
0.01257775462791301,15.355788953885233
0.012938580764540936,14.934070756635691
0.013299406901168861,14.51313581256037
0.013660233037796787,14.093727655686088
0.014021059174424713,13.676558360284039
0.014381885311052639,13.262307007111508
0.014742711447680565,12.851618367572058
0.01510353758430849,12.445101805114898
0.015464363720936417,12.043330391737305
0.015825189857564342,11.646840236079239
0.016186015994192268,11.256130018298197
0.016546842130820194,10.871660725704206
0.01690766826744812,10.493855582023333
0.017268494404076046,10.123100162147471
0.01762932054070397,9.759742683324317
0.017990146677331897,9.404094462948903
0.018350972813959837,9.056430532433337
0.018711798950587763,8.716990396064258
0.01907262508721569,8.385978923297783
0.019433451223843615,8.06356736259661
0.01979427736047154,7.749894464674833
0.020155103497099466,7.445067702884569
0.020515929633727392,7.149164578446127
0.020876755770355318,6.862233998289162
0.021237581906983244,6.584297713428246
0.02159840804361117,6.315351806037933
0.021959234180239096,6.055368213711154
0.02232006031686702,5.804296279775759
0.022680886453494947,5.562064319000128
0.023041712590122873,5.328581188529666
0.0234025387267508,5.103737854457704
0.023763364863378725,4.887408945037061
0.02412419100000665,4.679454282175542
0.024485017136634576,4.479720383522918
0.024845843273262502,4.28804192813873
0.025206669409890442,4.104243179428002
0.025567495546518354,3.928139359731832
0.025928321683146294,3.7595379716620823
0.026289147819774206,3.5982400619642343
0.026649973956402145,3.4440414243741464
0.027010800093030057,3.2967337386031574
0.027371626229657997,3.156105643227676
0.02773245236628591,3.0219437408810927
0.02809327850291385,2.894033534734189
0.02845410463954176,2.7721602958097913
0.0288149307761697,2.6561098611990155
0.029175756912797612,2.5456693637345174
0.029536583049425552,2.440627894122973
0.029897409186053464,2.340777096948465
0.030258235322681404,2.2459117023255075
0.030619061459309316,2.1558299953092823
0.030979887595937255,2.0703342254561883
0.03134071373256517,1.9892309591759183
0.03170153986919311,1.912331377722599
0.03206236600582102,1.8394515238422804
0.03242319214244896,1.7704125002257791
0.03278401827907687,1.7050406230125594
0.03314484441570481,1.6431675336536455
0.03350567055233275,1.5846302724733965
0.03386649668896066,1.5292713172699552
0.0342273228255886,1.4769385902687624
0.034588148962216514,1.4274854366909726
0.034948975098844454,1.3807705781242223
0.035309801235472366,1.336658043787286
0.035670627372100305,1.2950170826664915
0.03603145350872822,1.2557220593716867
0.03639227964535616,1.2186523364160775
0.03675310578198407,1.1836921454691014
0.03711393191861201,1.1507304499673385
0.03747475805523992,1.119660801297107
0.03783558419186786,1.090381190585817
0.03819641032849577,1.062793897959887
0.03855723646512371,1.0368053409457154
0.038918062601751624,1.012325923510135
0.039278888738379564,0.9892698870578699
0.039639714875007476,0.9675551645284002
0.040000541011635415,0.9471032385645621
0.04036136714826333,0.9278390045601738
0.04072219328489127,0.9096906392367903
0.04108301942151918,0.8925894752500153
0.04144384555814712,0.876469882184571
0.04180467169477503,0.8612691541659734
0.04216549783140297,0.8469274041947994
0.04252632396803088,0.8333874651978791
0.04288715010465882,0.820594797690063
0.043247976241286734,0.8084974038500211
0.043608802377914674,0.7970457477340737
0.043969628514542614,0.7861926812836358
0.044330454651170526,0.7758933757241379
0.044691280787798465,0.7661052579055302
0.04505210692442638,0.7567879510979093
0.04541293306105432,0.7479032197277116
0.04577375919768223,0.7394149175225938
0.04613458533431017,0.7312889385233984
0.04649541147093808,0.7234931704213645
0.04685623760756602,0.7159974496853803
0.04721706374419393,0.7087735179582012
0.04757788988082187,0.7017949792214676
0.047938716017449784,0.6950372572551988
0.048299542154077724,0.68847755294951
0.048660368290705636,0.6820948010617341
0.049021194427333575,0.6758696260520342
0.04938202056396149,0.6697842966730059
0.04974284670058943,0.6638226790339611
0.05010367283721734,0.6579701879068589
0.05046449897384528,0.6522137360887937
0.05082532511047319,0.6465416816837989
0.05118615124710113,0.6409437732145403
0.05154697738372904,0.635411092521603
0.05190780352035698,0.6299359954539093
0.052268629656984894,0.6245120503978443
0.052629455793612834,0.6191339747345965
0.052990281930240746,0.6137975693546154
0.053351108066868685,0.6084996513946603
0.0537119342034966,0.6032379853960681
0.05407276034012454,0.5980112131130698
0.05443358647675248,0.5928187822260291
0.05479441261338039,0.5876608742373919
0.05515523875000833,0.5825383318465919
0.05551606488663624,0.5774525861153723
0.05587689102326418,0.5724055837457376
0.05623771715989209,0.5673997148000463
0.05659854329652003,0.5624377411961418
0.056959369433147944,0.5575227263100996
0.057320195569775884,0.552657966015388
0.057681021706403796,0.5478469214801772
0.058041847843031735,0.5430931540341716
0.05840267397965965,0.5384002624032729
0.05876350011628759,0.5337718225943398
0.0591243262529155,0.5292113306943556
0.05948515238954344,0.5247221488275916
0.05984597852617135,0.5203074544924
0.06020680466279929,0.5159701934752139
0.0605676307994272,0.5117130365144964
0.06092845693605514,0.507538339861132
0.061289283072683054,0.5034481098550957
0.061650109209310994,0.4994439716109636
0.062010935345938906,0.4955271418776321
0.062371761482566845,0.49169840611021537
0.06273258761919476,0.4879580997653557
0.0630934137558227,0.4843060938047393
0.06345423989245061,0.48074178436621867
0.06381506602907855,0.47726408653724006
0.06417589216570646,0.47387143214203165
0.0645367183023344,0.47056177143174427
0.06489754443896234,0.4673325785462319
0.06525837057559025,0.464180860596874
0.06561919671221819,0.4611031702024534
0.0659800228488461,0.4580956212942346
0.06634084898547404,0.4551539079924969
0.06670167512210196,0.45227332634424217
0.0670625012587299,0.4494487987017518
0.06742332739535781,0.4466749005125506
0.06778415353198575,0.4439458892849522
0.06814497966861366,0.4412557354877949
0.0685058058052416,0.4385981551398667
0.06886663194186951,0.43596664384259515
0.06922745807849745,0.43335451200942265
0.06958828421512536,0.4307549210465335
0.0699491103517533,0.4281609202424692
0.07030993648838121,0.425565484127949
0.07067076262500915,0.42296155007279673
0.07103158876163707,0.4203420558930933
0.071392414898265,0.41769997724915986
0.07175324103489292,0.4150283646234945
0.07211406717152086,0.4123203796768908
0.07247489330814877,0.40956933079102703
0.07283571944477671,0.4067687076164856
0.07319654558140462,0.4039122144562544
0.07355737171803256,0.4009938023265738
0.07391819785466047,0.3980076995488708
0.07427902399128841,0.39494844073906904
0.07463985012791635,0.3918108940728989
0.07500067626454426,0.38859028671877144
0.0753615024011722,0.3852822283424721
0.07572232853780012,0.3818827326007495
0.07608315467442806,0.3783882365536708
0.07644398081105597,0.3747956179383286
0.0768048069476839,0.3711022102589824
0.07716563308431182,0.3673058156610977
